,Platform,Genre,Publisher,Rating,Year_of_Release,Critic_Score,BINARY_Hits
0,Wii,Sports,Nintendo,E,2006.0,76.0,1.0
2,Wii,Racing,Nintendo,E,2008.0,82.0,1.0
3,Wii,Sports,Nintendo,E,2009.0,80.0,1.0
6,DS,Platform,Nintendo,E,2006.0,89.0,1.0
7,Wii,Misc,Nintendo,E,2006.0,58.0,1.0
8,Wii,Platform,Nintendo,E,2009.0,87.0,1.0
11,DS,Racing,Nintendo,E,2005.0,91.0,1.0
13,Wii,Sports,Nintendo,E,2007.0,80.0,1.0
14,X360,Misc,Over 50 Under 150 Publisher,E,2010.0,61.0,1.0
15,Wii,Sports,Nintendo,E,2009.0,80.0,1.0
16,PS3,Action,Take-Two Interactive,M,2013.0,97.0,1.0
17,PS2,Action,Take-Two Interactive,M,2004.0,95.0,1.0
19,DS,Misc,Nintendo,E,2005.0,77.0,1.0
23,X360,Action,Take-Two Interactive,M,2013.0,97.0,1.0
24,PS2,Action,Take-Two Interactive,M,2002.0,95.0,1.0
26,DS,Puzzle,Nintendo,E,2005.0,77.0,1.0
28,PS2,Racing,Sony Computer Entertainment,E,2001.0,95.0,1.0
29,X360,Shooter,Activision,M,2011.0,88.0,1.0
32,X360,Shooter,Activision,M,2010.0,87.0,1.0
34,PS3,Shooter,Activision,M,2012.0,83.0,1.0
35,X360,Shooter,Activision,M,2012.0,83.0,1.0
36,X360,Shooter,Activision,M,2009.0,94.0,1.0
37,PS3,Shooter,Activision,M,2011.0,88.0,1.0
38,PS2,Action,Take-Two Interactive,M,2001.0,97.0,1.0
39,Wii,Fighting,Nintendo,T,2008.0,93.0,1.0
40,3DS,Racing,Nintendo,E,2011.0,85.0,1.0
41,PS3,Shooter,Activision,M,2010.0,88.0,1.0
42,PS4,Action,Take-Two Interactive,M,2014.0,97.0,1.0
43,DS,Simulation,Nintendo,E,2005.0,86.0,1.0
44,X360,Shooter,Over 50 Under 150 Publisher,M,2007.0,94.0,1.0
48,PS2,Racing,Sony Computer Entertainment,E,2004.0,89.0,1.0
49,Wii,Platform,Nintendo,E,2007.0,97.0,1.0
51,X360,Action,Take-Two Interactive,M,2008.0,98.0,1.0
52,PS,Racing,Sony Computer Entertainment,E,1997.0,96.0,1.0
53,3DS,Platform,Nintendo,E,2011.0,90.0,1.0
54,PS3,Racing,Sony Computer Entertainment,E,2010.0,84.0,1.0
55,PS3,Shooter,Activision,M,2009.0,94.0,1.0
57,PS3,Action,Take-Two Interactive,M,2008.0,98.0,1.0
60,X360,Shooter,Activision,M,2013.0,73.0,1.0
61,Wii,Misc,Ubisoft,E10+,2011.0,74.0,1.0
62,3DS,Platform,Nintendo,E,2012.0,78.0,1.0
64,X360,Shooter,Over 50 Under 150 Publisher,M,2010.0,91.0,1.0
65,PS,Role-Playing,Sony Computer Entertainment,T,1997.0,92.0,1.0
66,X360,Shooter,Over 50 Under 150 Publisher,M,2012.0,87.0,1.0
67,PS,Racing,Sony Computer Entertainment,T,1999.0,93.0,1.0
68,Wii,Misc,Ubisoft,E10+,2010.0,74.0,1.0
69,PS3,Shooter,Activision,M,2013.0,71.0,1.0
70,X360,Shooter,Activision,M,2007.0,94.0,1.0
73,3DS,Simulation,Nintendo,E,2012.0,88.0,1.0
74,DS,Misc,Nintendo,E,2007.0,72.0,1.0
75,X360,Role-Playing,Over 50 Under 150 Publisher,M,2011.0,96.0,1.0
77,PS4,Sports,Electronic Arts,E,2015.0,82.0,1.0
78,XB,Shooter,Over 50 Under 150 Publisher,M,2004.0,95.0,1.0
79,Wii,Misc,Nintendo,E,2010.0,68.0,1.0
80,Wii,Misc,Nintendo,E,2007.0,62.0,1.0
81,PS3,Action,Electronic Arts,E,2012.0,88.0,1.0
84,PS2,Role-Playing,Sony Computer Entertainment,T,2001.0,92.0,1.0
85,PC,Simulation,Electronic Arts,T,2009.0,86.0,1.0
88,PS,Role-Playing,Under 50 Games Publisher,T,1999.0,90.0,1.0
90,DS,Role-Playing,Nintendo,E,2008.0,83.0,1.0
91,PSP,Action,Take-Two Interactive,M,2005.0,88.0,1.0
92,PS4,Shooter,Activision,M,2014.0,83.0,1.0
94,PS4,Sports,Electronic Arts,E,2016.0,85.0,1.0
97,Wii,Platform,Nintendo,E,2010.0,97.0,1.0
100,X360,Shooter,Activision,M,2008.0,84.0,1.0
101,X360,Shooter,Electronic Arts,M,2011.0,84.0,1.0
102,PS2,Racing,Electronic Arts,E,2003.0,85.0,1.0
103,Wii,Misc,Ubisoft,E10+,2009.0,49.0,1.0
104,PS3,Shooter,Electronic Arts,M,2011.0,85.0,1.0
105,PS4,Role-Playing,Over 50 Under 150 Publisher,M,2015.0,87.0,1.0
106,PS,Fighting,Sony Computer Entertainment,T,1998.0,96.0,1.0
107,Wii,Action,Nintendo,T,2006.0,95.0,1.0
109,PS,Platform,Sony Computer Entertainment,E,1998.0,91.0,1.0
110,WiiU,Racing,Nintendo,E,2014.0,88.0,1.0
111,GC,Fighting,Nintendo,T,2001.0,92.0,1.0
113,PS2,Racing,Electronic Arts,E,2004.0,82.0,1.0
114,PS2,Shooter,Electronic Arts,T,2002.0,88.0,1.0
116,Wii,Misc,Ubisoft,E10+,2012.0,74.0,1.0
117,X360,Shooter,Over 50 Under 150 Publisher,M,2008.0,93.0,1.0
118,PS3,Action,Sony Computer Entertainment,T,2011.0,92.0,1.0
120,PS3,Shooter,Activision,M,2007.0,94.0,1.0
121,PS3,Action,Sony Computer Entertainment,T,2009.0,96.0,1.0
123,DS,Misc,Nintendo,E,2005.0,74.0,1.0
125,PS3,Action,Take-Two Interactive,M,2010.0,95.0,1.0
126,PS3,Sports,Electronic Arts,E,2013.0,86.0,1.0
127,PS3,Action,Ubisoft,M,2012.0,85.0,1.0
128,Wii,Platform,Nintendo,E,2010.0,87.0,1.0
