Name,Platform,Year_of_Release,Genre,Publisher,TOTAL_SALES_2019,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score,Developer,Rating
Plague Inc: Evolved,PC,2020,Strategy,Ndemic Creations,2,,,,,,,Ndemic Creations,
Final Fantasy Type-0,PSP,2020,Role-Playing,Unknown,0.81,,,0.81,,,,Square Enix,RP
Raft,PC,2020,Action,Unknown,0.81,,,,,,,Redbeet Interactive,
Dragon Quest Monsters: Caravan Heart,GBA,2020,Role-Playing,Unknown,0.66,,,0.64,0.02,,,TOSE,
Imagine: Makeup Artist,DS,2020,Simulation,Ubisoft,0.29,0.27,,,0.02,,,Global A Entertainment,E
Castle Story,PC,2020,Misc,Zono Incorporated,0.28,,,,,,,Unknown,
Trouble In The Manor,PC,2020,Action,Unknown,0.27,,,,,,,Charyb Games,
Tokyo Jungle,PS3,2020,Action,Sony Computer Entertainment,0.26,,,0.26,,,,PlayStation C.A.M.P.!,T
Lovers in a Dangerous Spacetime,PC,2020,Misc,Asteroid Base,0.22,,,,,,,Unknown,
Distance,PC,2020,Misc,Refract Studios,0.17,,,,,,,Unknown,
Hamster Heroes,Wii,2020,Puzzle,Unknown,0.16,0.16,,,,,,Data Design Interactive,
Disgaea 4: A Promise Unforgotten,PSV,2020,Misc,NIS America,0.16,0.03,0.03,0.08,0.02,,,Unknown,
Kidou Senkan Nadesico,SAT,2020,Strategy,Unknown,0.15,,,0.15,,,,fupac,
Black * Rock Shooter: The Game,PSP,2020,Role-Playing,Unknown,0.15,,,0.15,,,,imageepoch Inc.,RP
Wasteland 2,PC,2020,Misc,inXile Entertainment,0.13,0.06,0.06,,0.01,,,Unknown,
Ridge Racer 2,PSP,2020,Racing,Unknown,0.1,,0.03,0.07,0.01,7.5,,Namco Bandai Games,
Destroy All Humans! Path of the Furon,PS3,2020,Action,Unknown,0.09,,0.08,,0.01,5,,Sandblast Games,T
Mahjong 3D: Warriors of the Emperor,3DS,2020,Misc,Unknown,0.05,,0.05,,0,,,Engine Software,E
Doodle Hex,DS,2020,Puzzle,Unknown,0.03,,0.03,,0,,,Tragnarion Studios,
Championship Manager Season 01/02,PC,2020,Sports,Unknown,0.03,,0.03,,0,,,Sports Interactive,
